accession,paired,source,level,strain,host,geo,subspecies,length,gc,release
GCF_029962045.1,GCA_029962045.1,SOURCE_DATABASE_REFSEQ,Complete Genome,AM2-Angelina,Almond,Argentina: Catamarca,,2661210,52.5,2023-05-10
GCA_029962065.1,GCF_029962065.1,SOURCE_DATABASE_GENBANK,Complete Genome,OLI17A,Olive,Argentina: La Rioja,,2649239,52.5,2023-05-10
GCF_029962065.1,GCA_029962065.1,SOURCE_DATABASE_REFSEQ,Complete Genome,OLI17A,Olive,Argentina: La Rioja,,2649239,52.5,2023-05-10
GCA_029962025.1,GCF_029962025.1,SOURCE_DATABASE_GENBANK,Complete Genome,ALM4,Almond,Argentina: Catamarca,,2579484,52.5,2023-05-10
GCF_029962025.1,GCA_029962025.1,SOURCE_DATABASE_REFSEQ,Complete Genome,ALM4,Almond,Argentina: Catamarca,,2579484,52.5,2023-05-10
GCA_053901285.1,GCF_053901285.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP 8498,Coffea arabica,Costa Rica: intercepted in France,,2703090,52.5,2025-12-10
GCF_053901285.1,GCA_053901285.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP 8498,Coffea arabica,Costa Rica: intercepted in France,,2703090,52.5,2025-12-10
GCA_002117875.1,GCF_002117875.1,SOURCE_DATABASE_GENBANK,Complete Genome,De Donno,Olea europaea,Italy: Apulia (region),,2543738,52,2017-05-04
GCF_002117875.1,GCA_002117875.1,SOURCE_DATABASE_REFSEQ,Complete Genome,De Donno,Olea europaea,Italy: Apulia (region),,2543738,52,2017-05-04
GCA_000006725.1,GCF_000006725.1,SOURCE_DATABASE_GENBANK,Complete Genome,9a5c,,,,2731750,52.5,2001-01-09
GCF_000006725.1,GCA_000006725.1,SOURCE_DATABASE_REFSEQ,Complete Genome,9a5c,,,,2731750,52.5,2001-01-09
GCA_000698805.1,GCF_000698805.1,SOURCE_DATABASE_GENBANK,Complete Genome,Ann-1,,,,2780908,52,2014-06-06
GCF_000698805.1,GCA_000698805.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Ann-1,,,,2780908,52,2014-06-06
GCA_000007245.1,GCF_000007245.1,SOURCE_DATABASE_GENBANK,Complete Genome,Temecula1,,,,2521148,52,2003-01-29
GCF_000007245.1,GCA_000007245.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Temecula1,,,,2521148,52,2003-01-29
GCA_004016415.2,GCF_004016415.2,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP 8356,Coffea arabica,France: intercepted coffee plant,,2766210,52,2025-12-17
GCF_004016415.2,GCA_004016415.2,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP 8356,Coffea arabica,France: intercepted coffee plant,,2766210,52,2025-12-18
GCA_021474225.1,GCF_021474225.1,SOURCE_DATABASE_GENBANK,Complete Genome,OC8,Olea,"USA:Irvine, California",,2786612,52,2022-01-15
GCF_021474225.1,GCA_021474225.1,SOURCE_DATABASE_REFSEQ,Complete Genome,OC8,Olea,"USA:Irvine, California",,2786612,52,2022-01-15
GCA_000698825.1,GCF_000698825.1,SOURCE_DATABASE_GENBANK,Complete Genome,MUL0034,,,,2666577,52,2014-06-06
GCF_000698825.1,GCA_000698825.1,SOURCE_DATABASE_REFSEQ,Complete Genome,MUL0034,,,,2666577,52,2014-06-06
GCA_021398655.1,GCF_021398655.1,SOURCE_DATABASE_GENBANK,Complete Genome,Riv16,Morus alba,"USA:Riverside, California",,2638230,52,2022-01-10
GCF_021398655.1,GCA_021398655.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Riv16,Morus alba,"USA:Riverside, California",,2638230,52,2022-01-10
GCA_021459865.1,GCF_021459865.1,SOURCE_DATABASE_GENBANK,Complete Genome,Riv11,Morus alba,"USA:Riverside, California",,2636626,52,2022-01-13
GCF_021459865.1,GCA_021459865.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Riv11,Morus alba,"USA:Riverside, California",,2636626,52,2022-01-13
GCA_021459825.1,GCF_021459825.1,SOURCE_DATABASE_GENBANK,Complete Genome,Riv25,Morus alba,"USA:Riverside, California",,2630808,52,2022-01-13
GCF_021459825.1,GCA_021459825.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Riv25,Morus alba,"USA:Riverside, California",,2630808,52,2022-01-13
GCA_021459805.1,GCF_021459805.1,SOURCE_DATABASE_GENBANK,Complete Genome,Riv19,Morus alba,"USA:Riverside, California",,2630638,52,2022-01-13
GCF_021459805.1,GCA_021459805.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Riv19,Morus alba,"USA:Riverside, California",,2630638,52,2022-01-13
GCA_000019765.1,GCF_000019765.1,SOURCE_DATABASE_GENBANK,Complete Genome,M23,,,,2573987,51.5,2008-04-11
GCF_000019765.1,GCA_000019765.1,SOURCE_DATABASE_REFSEQ,Complete Genome,M23,,,,2573987,51.5,2008-04-11
GCA_000019325.1,GCF_000019325.1,SOURCE_DATABASE_GENBANK,Complete Genome,M12,,,,2475130,52,2008-02-19
GCF_000019325.1,GCA_000019325.1,SOURCE_DATABASE_REFSEQ,Complete Genome,M12,,,,2475130,52,2008-02-19
GCA_001456335.3,GCF_001456335.2,SOURCE_DATABASE_GENBANK,Complete Genome,Fb7,Citrus,Argentina: Corrientes,,2699320,52.5,2018-05-01
GCF_001456335.2,GCA_001456335.3,SOURCE_DATABASE_REFSEQ,Complete Genome,Fb7,Citrus,Argentina: Corrientes,,2699320,52.5,2018-05-01
GCA_002954185.1,GCF_002954185.1,SOURCE_DATABASE_GENBANK,Complete Genome,Salento-1,Olea europaea,"Italy: Taviano, Lecce, Apulia",,2543366,52,2018-02-27
GCF_002954185.1,GCA_002954185.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Salento-1,Olea europaea,"Italy: Taviano, Lecce, Apulia",,2543366,52,2018-02-27
GCA_028735915.1,GCF_028735915.1,SOURCE_DATABASE_GENBANK,Complete Genome,ICMP 8731,Vitis vinifera,not collected,,2447944,52,2023-02-19
GCF_028735915.1,GCA_028735915.1,SOURCE_DATABASE_REFSEQ,Complete Genome,ICMP 8731,Vitis vinifera,not collected,,2447944,52,2023-02-19
GCA_028621935.1,,SOURCE_DATABASE_GENBANK,Complete Genome,AlmaReb2,blueberry,USA: Georgia,,2549422,52,2023-02-14
GCA_028621915.1,,SOURCE_DATABASE_GENBANK,Complete Genome,AlmaReb6,blueberry,USA: Georgia,,2530311,52,2023-02-14
GCA_000148405.1,GCF_000148405.1,SOURCE_DATABASE_GENBANK,Complete Genome,GB514,grape,USA: Texas,,2517383,52,2010-09-23
GCF_000148405.1,GCA_000148405.1,SOURCE_DATABASE_REFSEQ,Complete Genome,GB514,grape,USA: Texas,,2517383,52,2010-09-23
